residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,htn_unscreened,26.4,26,26.9,Proportion,"26.4 (26, 26.9)",321638,,NA
Rural,htn_undiagnosed,62.2,61.6,62.8,Proportion,"62.2 (61.6, 62.8)",321638,,NA
Urban,htn_unscreened,18,17.3,18.7,Proportion,"18 (17.3, 18.7)",119878,,NA
Urban,htn_undiagnosed,58.1,57.2,59,Proportion,"58.1 (57.2, 59)",119878,,NA
Rural,htn_unscreened,19.6,19.1,20.1,Proportion,"19.6 (19.1, 20.1)",165688,sex,Female
Rural,htn_undiagnosed,54.2,53.4,54.9,Proportion,"54.2 (53.4, 54.9)",165688,sex,Female
Rural,htn_unscreened,34.6,34,35.1,Proportion,"34.6 (34, 35.1)",155950,sex,Male
Rural,htn_undiagnosed,71.9,71.3,72.5,Proportion,"71.9 (71.3, 72.5)",155950,sex,Male
Urban,htn_unscreened,12.3,11.5,13,Proportion,"12.3 (11.5, 13)",60667,sex,Female
Urban,htn_undiagnosed,49.8,48.7,50.9,Proportion,"49.8 (48.7, 50.9)",60667,sex,Female
Urban,htn_unscreened,23.6,22.7,24.5,Proportion,"23.6 (22.7, 24.5)",59211,sex,Male
Urban,htn_undiagnosed,66.3,65.4,67.2,Proportion,"66.3 (65.4, 67.2)",59211,sex,Male
Rural,htn_unscreened,29.3,28.6,29.9,Proportion,"29.3 (28.6, 29.9)",82119,age_category,18-39
Rural,htn_undiagnosed,64,63.1,64.9,Proportion,"64 (63.1, 64.9)",82119,age_category,18-39
Rural,htn_unscreened,24,23.6,24.4,Proportion,"24 (23.6, 24.4)",168940,age_category,40-64
Rural,htn_undiagnosed,61.9,61.4,62.4,Proportion,"61.9 (61.4, 62.4)",168940,age_category,40-64
Rural,htn_unscreened,20,19.5,20.6,Proportion,"20 (19.5, 20.6)",70579,age_category,65 plus
Rural,htn_undiagnosed,53.8,53.2,54.5,Proportion,"53.8 (53.2, 54.5)",70579,age_category,65 plus
Urban,htn_unscreened,26,24.8,27.2,Proportion,"26 (24.8, 27.2)",29702,age_category,18-39
Urban,htn_undiagnosed,68.7,67.2,70.1,Proportion,"68.7 (67.2, 70.1)",29702,age_category,18-39
Urban,htn_unscreened,13.4,12.8,14,Proportion,"13.4 (12.8, 14)",65607,age_category,40-64
Urban,htn_undiagnosed,53.9,53.1,54.7,Proportion,"53.9 (53.1, 54.7)",65607,age_category,40-64
Urban,htn_unscreened,8.3,7.6,8.9,Proportion,"8.3 (7.6, 8.9)",24569,age_category,65 plus
Urban,htn_undiagnosed,39.3,38.1,40.5,Proportion,"39.3 (38.1, 40.5)",24569,age_category,65 plus
Rural,htn_unscreened,24,23.1,24.9,Proportion,"24 (23.1, 24.9)",21519,education,Higher
Rural,htn_undiagnosed,61.4,60.2,62.5,Proportion,"61.4 (60.2, 62.5)",21519,education,Higher
Rural,htn_unscreened,27.4,26.7,28.1,Proportion,"27.4 (26.7, 28.1)",134814,education,No education
Rural,htn_undiagnosed,62.1,61.2,62.9,Proportion,"62.1 (61.2, 62.9)",134814,education,No education
Rural,htn_unscreened,26.3,25.5,27.1,Proportion,"26.3 (25.5, 27.1)",54629,education,Primary
Rural,htn_undiagnosed,62.5,61.6,63.4,Proportion,"62.5 (61.6, 63.4)",54629,education,Primary
Rural,htn_unscreened,25.7,25.2,26.2,Proportion,"25.7 (25.2, 26.2)",110676,education,Secondary
Rural,htn_undiagnosed,62.4,61.7,63.1,Proportion,"62.4 (61.7, 63.1)",110676,education,Secondary
Urban,htn_unscreened,15.3,14.3,16.3,Proportion,"15.3 (14.3, 16.3)",22343,education,Higher
Urban,htn_undiagnosed,55.8,54.4,57.1,Proportion,"55.8 (54.4, 57.1)",22343,education,Higher
Urban,htn_unscreened,20.7,19.2,22.2,Proportion,"20.7 (19.2, 22.2)",26122,education,No education
Urban,htn_undiagnosed,59.2,57.4,60.9,Proportion,"59.2 (57.4, 60.9)",26122,education,No education
Urban,htn_unscreened,18.8,17.5,20.2,Proportion,"18.8 (17.5, 20.2)",17516,education,Primary
Urban,htn_undiagnosed,60,58.5,61.4,Proportion,"60 (58.5, 61.4)",17516,education,Primary
Urban,htn_unscreened,17.6,16.8,18.3,Proportion,"17.6 (16.8, 18.3)",53897,education,Secondary
Urban,htn_undiagnosed,58,57,59,Proportion,"58 (57, 59)",53897,education,Secondary
Rural,htn_unscreened,22.7,21.9,23.5,Proportion,"22.7 (21.9, 23.5)",75986,caste,General
Rural,htn_undiagnosed,57.5,56.5,58.5,Proportion,"57.5 (56.5, 58.5)",75986,caste,General
Rural,htn_unscreened,24.7,24,25.3,Proportion,"24.7 (24, 25.3)",117384,caste,OBC
Rural,htn_undiagnosed,61.1,60.3,62,Proportion,"61.1 (60.3, 62)",117384,caste,OBC
Rural,htn_unscreened,26.3,25.5,27.1,Proportion,"26.3 (25.5, 27.1)",61051,caste,Schedule Caste
Rural,htn_undiagnosed,63,62,63.9,Proportion,"63 (62, 63.9)",61051,caste,Schedule Caste
Rural,htn_unscreened,42.4,41.2,43.6,Proportion,"42.4 (41.2, 43.6)",67217,caste,Schedule Tribe
Rural,htn_undiagnosed,76.2,75.1,77.2,Proportion,"76.2 (75.1, 77.2)",67217,caste,Schedule Tribe
Urban,htn_unscreened,16.2,15.2,17.2,Proportion,"16.2 (15.2, 17.2)",40888,caste,General
Urban,htn_undiagnosed,57,55.7,58.3,Proportion,"57 (55.7, 58.3)",40888,caste,General
Urban,htn_unscreened,17.8,16.9,18.8,Proportion,"17.8 (16.9, 18.8)",46907,caste,OBC
Urban,htn_undiagnosed,57.8,56.6,58.9,Proportion,"57.8 (56.6, 58.9)",46907,caste,OBC
